RefID,Author,Year,Publication,Country,Source,Discipline,InTitle,Variation,Question,Protocol,DateSearch,ListSource,Platform,DatabaseCount,Database,SearchStrategy,SearchString,SearchFilter,SearchQuality,LibrarianAuthor,LibrarianConsulted,Criteria,Flowchart,Assessment,Reliability
23,Abu,2021,Pathways of lean manufacturing in wood and furniture industries: a bibliometric and systematic review,Malaysia,European Journal of Wood & Wood Products,Industrial,yes,systematic review,yes,no,no,yes,na,1,Scopus,yes,yes,yes,low,no,no,no,no,no,no
24,Abujayyab,2017,GIS modeling for landfill site selection via multi-criteria decision analysis: A systematic review,Malaysia,ACM International Conference Proceeding Series,Industrial,yes,systematic review,no,no,no,no,na,0,na,yes,no,yes,low,no,no,no,no,no,no
25,Abunima,2018,"A systematic review of reliability studies on composite power systems: A coherent taxonomy motivations, open challenges, recommendations, and new research directions",Malaysia,Energies,Electrical,yes,systematic review,no,no,yes,yes,na,3,IEEE Xplore;ScienceDirect;Web of Science,yes,no,yes,low,no,no,yes,yes,no,no
26,Abuseif,2018,"A review of roofing methods: Construction features, heat reduction, payback period and climatic responsiveness",Australia,Energies,Civil,no,neither,no,no,no,yes,na,1,Web of Science,yes,no,no,low,no,no,no,no,no,no
27,Acerbi,2021,A Systematic Literature Review on Data and Information Required for Circular Manufacturing Strategies Adoption,Italy,Sustainability,Industrial,yes,systematic review,yes,no,no,yes,na,1,Scopus,yes,yes,no,low,no,no,yes,yes,no,no
28,Acerbi,2020,Towards a data-based circular economy: exploring opportunities from digital knowledge management,Italy,European Lean Educator Conference,Industrial,no,neither,no,no,no,yes,na,1,Scopus,yes,no,no,low,no,no,no,no,no,no
29,Acerbi,2020,Exploring Synergies Between Circular Economy and Asset Management,Italy,International Conference on Advances in Production Management Systems,Industrial,no,neither,no,no,no,yes,na,1,Scopus,yes,no,no,low,no,no,no,no,no,no
30,Acerbi,2021,Role of Artificial Intelligence in Circular Manufacturing: A Systematic Literature Review,Italy,IFAC Symposium on Information Control Problems in Manufacturing,Industrial,yes,systematic review,yes,no,no,yes,na,1,Scopus,yes,yes,yes,low,no,no,yes,yes,no,no
31,Acerbi,2020,A literature review on circular economy adoption in the manufacturing sector,Italy,Journal of Cleaner Production,Industrial,no,neither,yes,no,yes,yes,na,2,Web of Science;Scopus,yes,no,no,low,no,no,yes,yes,no,no
32,Acosta-Amado,2014,The refined products distribution problem via pipeline systems: A survey,Colombia,IIE Annual Conference & Expo,Industrial,no,neither,no,no,no,no,no,0,na,no,no,yes,low,no,no,yes,no,no,no
